"SMILES","InChIKey","AromaticRingCount","HBondDonorCount","HBondAcceptorCount","FractionCarbonSP3","HeteroatomCount","HeterocycleCount","RotatableBondCount","MolecularMass","DegreeOfUnsaturation","MinEllipsoidLength","MaxDistance","LongestPiChain","LinkerLength","MaxAbsorbanceWavelength"
"CC1=C/C(=C(/c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O","KXOWVZNVTQLQPD-XMHGGMMESA-K",2,1,8,0.08695652173913043,10,0,5,467.43,18,97.29578327936441,11.3579367724015,10,2,500.5029863
"CC1=CC(=C(c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O","KXOWVZNVTQLQPD-UHFFFAOYSA-K",2,1,8,0.08695652173913043,10,0,5,467.43,18,82.6366810628424,11.271218758378707,10,2,480.1956869
"CCN1C(=CC=CC2=[N+](CC)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21","RHCLJBKXGJHOCN-UHFFFAOYSA-M",2,0,7,0.37037037037037035,10,2,6,543.7,14,361.78819615947066,18.501957150764635,14,4,572.2782521
"C#CCN=C(O)CCCCC[N+]1=C(C=CC=CC=C2N(C)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21","OMSGSPNJNVQTSN-UHFFFAOYSA-N",2,2,7,0.37142857142857144,12,2,12,679.8,17,886.1844356105133,22.005961738400092,16,6,681.1854749
"CC1(C)C(C=CC2=C(NCCCN=[N+]=[N-])/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CC2)=[N+](CCCCS(=O)(=O)O)c2ccccc21","XEWMTEFQJKJRAZ-TXRIKVQFSA-N",2,2,8,0.475,14,2,18,777.,18,495.2660515147011,21.035384301828568,18,3,705.9428046
"C#CCNC1=C(C=CC2=[N+](CCCCS(=O)(=O)O)c3ccccc3C2(C)C)CC/C1=C\C=C1\N(CCCCS(=O)(=O)[O-])c2ccccc2C1(C)C","YNKZQYLIDKIPBB-GBYGALLISA-N",2,2,7,0.425,11,2,15,732.,18,549.2701238503648,19.85790834741982,18,3,712.6271625
"CC1(C)C(=CC=CC=CC2=[N+](CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC([O-])=NCCCN=[N+]=[N-])c2ccc(S(=O)(=O)O)cc21","DUWZWZJMKCNGSI-UHFFFAOYSA-L",2,1,12,0.4594594594594595,19,2,19,831.,19,1317.153790325648,24.72153904881388,16,6,676.9404449
"CCN1C(=CC=CC=CC2=[N+](CCCCCC(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21","HPICMEGAGMPYID-UHFFFAOYSA-M",2,1,8,0.3939393939393939,12,2,12,655.8,16,724.1833921634637,21.099876243666856,16,6,683.7698457
"c1ccc(Oc2c3c(cc4ccccc24)C2=NC3=NC3(Oc4ccccc4)N=C(N=C4N=C(c5c4c(Oc4ccccc4)c4ccccc4c5Oc4ccccc4)N(Oc4ccccc4)C4=NC(=N2)c2cc5ccccc5c(Oc5ccccc5)c24)c2c3c(Oc3ccccc3)c3ccccc3c2Oc2ccccc2)cc1","CUMJCHXGZQIUNU-UHFFFAOYSA-N",16,0,16,0.010416666666666666,16,5,16,1451.6,72,266.46824751242224,19.935006319135308,26,2,625.6473514
"CC1(C)C(=CC=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)ON2C(=O)CCC2=O)c2ccc(S(=O)(=O)[O-])cc21","MGIODCZGPVDROX-UHFFFAOYSA-M",2,0,15,0.4444444444444444,20,4,19,936.,23,1291.784706785236,25.024288210133733,16,6,663.3227079
